"country","city","metabolite","value_current","value_previous","year_current","year_previous","change_percent","change_percent2","SiteID","location","latitude","longitude","population","institution","website"
"AT","Wien","amphetamine",42.3,39.66,2024,2023,6.65658093797277,"stable","AT018","Hauptkläranlage Wien","48.210033","16.363449",3166000,"Medical University Innsbruck","N/A"
"AT","Wiener Neustadt","amphetamine",26.28,26.65,2024,2023,-1.38836772983113,"stable","AT019","AWV Wr. Neustadt-Süd","47.802790","16.23318",140000,"Medical University Innsbruck","N/A"
"AT","Wildon","amphetamine",39.59,36.21,2024,2023,9.33443800055234,"stable","AT020","Abwasserverband Grazerfeld","46.885708","15.518532",96000,"Medical University Innsbruck","N/A"
"BE","Antwerp Zuid","amphetamine",376.09,391.42,2024,2023,-3.91650912063769,"stable","BE002","Antwerpen-Zuid","51.2","4.39",143240,"Toxicological Centre","N/A"
"BE","Brussels","amphetamine",85.56,50.82,2024,2023,68.3589138134593,"increase","BE005","Brussel-Noord","50.86","4.36",1030306,"Toxicological Centre","N/A"
"CY","Agia Napa","amphetamine",8.01,3.95,2024,2023,102.784810126582,"increase","CY001","Sewage treatment plant of Agia Napa-Paralimni","34.99075444704176","33.9999814169353",55382,"Nireas","N/A"
"CY","Larnaca","amphetamine",6.5,4.26,2024,2023,52.5821596244132,"increase","CY002","Sewage Bioard of Larnaca","34.915164353041064","33.6361988334665",86577,"Nireas","N/A"
"CY","Limassol","amphetamine",6.66,17.2,2024,2023,-61.2790697674419,"decrease","CY003","Sewerage Board of Limassol-Amathus (SBLA)","34.69","33.02",213812,"Nireas","N/A"
"CY","Nicosia (2)","amphetamine",5.77,6.28,2024,2023,-8.12101910828027,"stable","CY005","Sewage treatment plant of Pano Deftera (Anthoupoli)-Sewerage Board of Nicosia; Sewage treatment plant of Vathia Gonia-Sewerage Board of Nicosia","35.17","33.4",111510,"N/A","N/A"
"CY","Paphos","amphetamine",9.42,21.75,2024,2023,-56.6896551724138,"decrease","CY007","Sewage Borad of Pafos","34.775853627551825","32.4215949998929",107501,"Nireas","N/A"
"CZ","Brno","amphetamine",26.51,,2024,,,"no previous data","CZ001","Waterworks and sewage of city Brno ","49.19506","16.606837",445000,"FFPW USB","N/A"
"CZ","České Budějovice","amphetamine",25.38,,2024,,,"no previous data","CZ002","UCOV CB","48.96","14.46",110000,"FFPW USB","N/A"
"CZ","Karlovy Vary","amphetamine",32.85,50.44,2024,2023,-34.8731165741475,"decrease","CZ003","ČOV Karloy Vary","50.23204","12.87099",67544,"T.G.Masaryk Water Research Institute","N/A"
"CZ","Ostrava","amphetamine",56.62,59.32,2024,2023,-4.5515846257586,"stable","CZ004","ÚČOV Ostrava","49.833864","18.281034",250000,"T.G.Masaryk Water Research Institute","N/A"
"CZ","Plzeň","amphetamine",57.48,46.01,2024,2023,24.929363181917,"increase","CZ005","ČOV Plzeň","49.73945","13.37329",178677,"T.G.Masaryk Water Research Institute","N/A"
"CZ","Prague (2)","amphetamine",53.78,,2024,,,"no previous data","CZ006","ÚČOV Praha","50.11584348","14.39671894",1212000,"South Bohemian Research Center of Aquaculture and Biodiversity of Hydrocenoses, University of South Bohemia in Ceske Budejovice","www.frov.jcu.cz/en/"
"CZ","Ústí nad Labem","amphetamine",80.93,,2024,,,"no previous data","CZ009","ČOV Ústí - Neštěmice","50.667583","14.10462173",92572,"T.G.Masaryk Water Research Institute","N/A"
"DE","Chemnitz","amphetamine",27.43,26.68,2024,2023,2.81109445277361,"stable","DE008","Chemnitz","50.827845","12.92137",239402,"Clinical Pharmacology TU Dresden","N/A"
"DE","Dortmund","amphetamine",262.2,234.66,2024,2023,11.7361288672974,"increase","DE009","Deusen","51.52","7.46",404300,"Clinical Pharmacology TU Dresden","N/A"
"DE","Dresden","amphetamine",50.58,46.38,2024,2023,9.05562742561448,"stable","DE010","Dresden-Kaditz","51.05089","13.73832",671806,"Clinical Pharmacology TU Dresden","N/A"
"DE","Erfurt","amphetamine",64.62,62.49,2024,2023,3.40854536725877,"stable","DE012","Erfurt","50.984768","11.02988",215323,"Clinical Pharmacology TU Dresden","N/A"
"DE","Hamburg N","amphetamine",61.64,,2024,,,"no previous data","DE018","Nord","53.551085","9.993682",630000,"IFT Institut für Therapieforschung","N/A"
"DE","Hannover (2)","amphetamine",97.34,,2024,,,"no previous data","DE020","Herrenhausen; Gummerwald","52.375892","9.73201",793400,"IFT Institut für Therapieforschung","www.ift.de/index.php"
"DE","Magdeburg","amphetamine",131.37,122.97,2024,2023,6.83093437423762,"stable","DE023","Magdeburg","52.120533","11.627624",281150,"Clinical Pharmacology TU Dresden","N/A"
"DE","Munich G","amphetamine",37.87,30.93,2024,2023,22.437762689945,"increase","DE026","Gut Grosslappen","48.14","11.58",1171100,"Clinical Pharmacology TU Dresden","N/A"
"DE","Nuremberg","amphetamine",53.19,46.96,2024,2023,13.2666098807496,"increase","DE028","Nürnberg","49.452102","11.076665",451472,"Clinical Pharmacology TU Dresden","N/A"
"DE","Saarbrücken (2)","amphetamine",498.56,346.86,2024,2023,43.7352245862884,"increase","DE030","Brebach; Burbach","49.240157","6.996933",203643,"IFT Institut für Therapieforschung","www.ift.de/index.php"
"DE","Stuttgart","amphetamine",111.13,,2024,,,"no previous data","DE033","Stuttgart","48.775846","9.182932",609000,"IFT Institut für Therapieforschung","N/A"
"DK","Aalborg","amphetamine",112.76,,2024,,,"no previous data","DK001","Aalborg renseanlæg vest","57.04855704","9.865213642",143141,"Department of Forensic Medicine, Section for Forensic Chemistry, Aarhus University, Denmark","N/A"
"DK","Aarhus","amphetamine",74.1,83.32,2024,2023,-11.0657705232837,"decrease","DK002","Marselisborg","56.1631","10.20256",128978,"Department of Forensic Medicine, Section for Forensic Chemistry, Aarhus University, Denmark","N/A"
"DK","Copenhagen","amphetamine",95.78,,2024,,,"no previous data","DK003","Lynetten","55.69","12.62",656470,"Department of Forensic Medicine, Section for Forensic Chemistry, Aarhus University, Denmark","N/A"
"DK","Esbjerg","amphetamine",199.86,,2024,,,"no previous data","DK004","Esbjerg renseanlæg vest","55.48812791","8.430608708",62017,"Department of Forensic Medicine, Section for Forensic Chemistry, Aarhus University, Denmark","N/A"
"DK","Næstved","amphetamine",179.24,,2024,,,"no previous data","DK005","Næstved centralrenseanlæg","55.2229935","11.74855352",69863,"Department of Forensic Medicine, Section for Forensic Chemistry, Aarhus University, Denmark","N/A"
"DK","Odense","amphetamine",121.81,,2024,,,"no previous data","DK006","Ejby Mølle","55.40132682133402","10.3875142603132",134364,"Department of Forensic Medicine, Section for Forensic Chemistry, Aarhus University, Denmark","N/A"
"ES","Barcelona","amphetamine",41.91,36.63,2024,2023,14.4144144144144,"increase","ES001","Baix Llobregat","41.43","1.97",1206813,"IDAEA-CSIC","N/A"
"ES","Granada","amphetamine",21.05,51.81,2024,2023,-59.3707778421154,"decrease","ES003","Granada","37.17752","-3.59539",233821,"UGR","N/A"
"ES","Lleida","amphetamine",42.25,44.23,2024,2023,-4.47659959303639,"stable","ES004","EDAR Lleida","41.617592","0.620015",149440,"IDAEA-CSIC","N/A"
"ES","Santiago","amphetamine",10.93,0,2024,2023,Inf,"increase","ES007","Silvouta","42.88","-8.54",136500,"IAQBUS","N/A"
"ES","Tarragona","amphetamine",54.73,51.51,2024,2023,6.25121335662978,"stable","ES008","Tarragona","41.11901451164164","1.24570728603803",150013,"URV","N/A"
"FI","Espoo","amphetamine",119.13,100.34,2024,2023,18.7263304763803,"increase","FI001","Blominmäki","60.16","24.71",390000,"THL/Forensic Toxicology","N/A"
"FI","Helsinki","amphetamine",186.03,184.74,2024,2023,0.698278661903211,"stable","FI002","Viikinmäki","60.23","24.99",9e+05,"THL/Forensic Toxicology","N/A"
"FI","Huittinen","amphetamine",25.51,,2024,,,"no previous data","FI003","Huittinen","61.17655889","22.69824858",37000,"THL/Forensic Toxicology","N/A"
"FI","Hämeenlinna","amphetamine",76.96,,2024,,,"no previous data","FI004","Paroinen","60.99601","24.46423",67000,"THL/Forensic Toxicology","N/A"
"FI","Joensuu","amphetamine",101.27,,2024,,,"no previous data","FI005","Kuhasalo","62.58","29.73",84300,"THL/Forensic Toxicology","N/A"
"FI","Jyväskylä","amphetamine",113.02,,2024,,,"no previous data","FI006","Nenäinniemi","62.21","25.77",155000,"THL/Forensic Toxicology","N/A"
"FI","Kajaani","amphetamine",159.91,,2024,,,"no previous data","FI007","Peuraniemi","64.227","27.7285",29772,"THL/Forensic Toxicology","N/A"
"FI","Kemi","amphetamine",84.98,,2024,,,"no previous data","FI008","Peurasaari","65.73609","24.56363",19368,"THL/Forensic Toxicology","N/A"
"FI","Kokkola","amphetamine",88.64,,2024,,,"no previous data","FI009","Hopeakivenlahti","63.83848","23.13048",36000,"THL/Forensic Toxicology","N/A"
